path,title,molar_mass,molar_volume,formation_gibbs,formation_enthalpy,reference_entropy,reference_spec_heat,coef_a,coef_b,coef_c,track
/species/hydroxyapatitenatur,Ca5(PO4)3(OH),502.311,159.6,-6330803.0,-6730234.0,390.35,385.11,478.07,82.89,-104.6,"95rob/hem,06bla/pia,Internal calculation,71par/wag,60kel"
/species/chlorapatitepp,Ca5(PO4)3Cl,520.756,163.88,-6223750.0,nan,nan,398.97,398.97,0.0,0.0,"74nau/ryz,84vie/tar|after 72bduf,68val/kog"
/species/chlorapatitesynth,Ca5(PO4)3Cl,520.756,163.88,-6276967.0,-6657339.0,397.9,398.97,398.97,0.0,0.0,"74nau/ryz,68val/kog,Internal calculation,71par/wag"
/species/fluorapatitenatur,Ca5(PO4)3F,504.302,157.56,-6462206.0,-6842549.0,387.85,375.91,474.43,56.89,-102.65,"95rob/hem,06bla/pia,Internal calculation,71par/wag,60kel"
/species/guerinite,Ca5H2(AsO4)4:9H2O,920.22,335.847,-7798607.0,nan,nan,nan,nan,nan,nan,"00bla/bid,99bot/bro"
/species/tobermorite11a,Ca5Si6H11O22.5,739.977,286.19,-9889529.0,-10680920.0,693.171,764.91,764.91,0.0,0.0,"00mer/bon,10abla/bou,00zue/feh,Internal calculation"
/species/tobermorite14a,Ca5Si6H21O27.5,830.053,351.3,-11090300.0,-12175150.0,875.184,973.53,973.53,0.0,0.0,"10abla/bou,Internal calculation"
/species/jaffeite,Ca6(Si2O7)(OH)6,510.679,174.376,-6469940.0,-6972771.0,326.184,344.9,344.9,0.0,0.0,"95ant/bid,10abla/bou,Internal calculation"
/species/ettringitecr,Ca6Al2(OH)12(CrO4)3:26H2O,1314.81,742.829,-15132196.0,-17330292.0,2315.1,2120.0,2120.0,0.0,0.0,"70moo/tay,00per/pal,Internal calculation"
/species/ettringite,Ca6Al2(SO4)3(OH)12:26H2O,1255.11,710.32,-15210275.0,-17544526.0,1883.75,2174.36,1939.12,789.0,0.0,"70moo/tay,10bbla/bou,63ber/new,Internal calculation,79ede/sat"
/species/ettringitefe,Ca6Fe2(SO4)3(OH)12:26H2O,1312.84,711.8,-14281369.0,-16601212.0,1930.11,2214.54,2214.54,0.0,0.0,"98gla/tyr,10bbla/bou,Internal calculation"
/species/xonotlite,Ca6Si6O17(OH)2,714.985,256.9,-9465305.0,-10022150.0,574.356,628.64,628.64,0.0,0.0,"56den/tay,10abla/bou,56new,Internal calculation"
/species/truscottite,Ca7Si12O29(OH)4:H2O,1167.6,478.73,-15820398.0,-16854619.0,927.678,1034.1,1034.1,0.0,0.0,"95ant/bid,10abla/bou,Internal calculation"
/species/hemicarboaluminate,Ca8Al4CO16:22H2O,1092.89,569.02,-14211427.0,-15987034.0,1269.09,1531.53,1531.53,0.0,0.0,"97tay,10bbla/bou,Internal calculation"
/species/jennite,Ca9Si6H22O32,1063.37,456.4,-13886954.0,-15189040.0,839.864,933.21,933.21,0.0,0.0,"92tay,10abla/bou,Internal calculation"
/species/pyroxenecaal,CaAl(AlSi)O6,218.123,63.5,-3104808.0,-3279529.0,146.44,164.36,226.48,26.86,-62.34,"78hel/del|92ajoh,Internal calculation"
/species/margarite,CaAl2(Al2Si2)O10(OH)2,398.184,129.63,-5859267.0,-6244000.0,263.6,321.48,373.08,171.6,-91.35,"95rob/hem,Internal calculation"
