Al,Mg,Si,Zn,liquidus,eq_liquidus
0.27,0.07,0.05,,867.1313976673536,"{'LIQUID#1': 1.0, 'MG2SI#1': 6.426720721667274e-16}"
0.27,0.07,0.06,,870.0865896890733,{'LIQUID#1': 1.0}
0.27,0.07,0.07,,871.1914742554656,{'LIQUID#1': 1.0}
0.27,0.07,0.08,,894.0135476911635,"{'DIAMOND_A4#1': 9.619175967647428e-15, 'LIQUID#1': 1.0000000000000002}"
0.27,0.07,0.09,,915.5935582935135,{'LIQUID#1': 1.0}
0.27,0.08,0.01,,816.9537344070263,"{'LIQUID#1': 1.0, 'MG2SI#1': 4.451363016703233e-16}"
0.27,0.08,0.02,,852.5779767545955,{'LIQUID#1': 0.9999999999999998}
0.27,0.08,0.03,,870.7947791213128,{'LIQUID#1': 0.9999999999999998}
0.27,0.08,0.04,,881.4735967130815,"{'LIQUID#1': 0.9999999999999999, 'MG2SI#1': 4.88033749962277e-16}"
0.27,0.08,0.05,,887.8914251700687,{'LIQUID#1': 1.0}
0.27,0.08,0.06,,891.5646143640978,{'LIQUID#1': 1.0}
0.27,0.08,0.07,,893.3248346965021,{'LIQUID#1': 1.0000000000000002}
0.27,0.08,0.08,,893.6788844950323,{'LIQUID#1': 1.0}
0.27,0.08,0.09,,899.2031567103119,"{'DIAMOND_A4#1': 6.278015571273533e-16, 'LIQUID#1': 1.0}"
0.27,0.09,0.01,,831.0791599128729,{'LIQUID#1': 0.9999999999999998}
0.27,0.09,0.02,,868.1478762516807,{'LIQUID#1': 1.0}
0.27,0.09,0.03,,887.4194759801449,{'LIQUID#1': 1.0}
0.27,0.09,0.04,,898.9712337002765,"{'LIQUID#1': 1.0, 'MG2SI#1': 5.783802632916577e-17}"
0.27,0.09,0.05,,906.151515135534,{'LIQUID#1': 1.0}
0.27,0.09,0.06,,910.5107537705047,"{'LIQUID#1': 1.0, 'MG2SI#1': 6.548699837397267e-15}"
0.27,0.09,0.07,,912.9000008675451,"{'LIQUID#1': 1.0, 'MG2SI#1': 4.992858982119243e-16}"
0.27,0.09,0.08,,913.8383877691982,"{'LIQUID#1': 1.0, 'MG2SI#1': 6.701787705486922e-16}"
0.27,0.09,0.09,,913.6662465739569,"{'LIQUID#1': 1.0, 'MG2SI#1': 9.96730747863706e-16}"
0.28,0.01,0.01,,769.2576393139445,"{'FCC_A1#1': 7.348762446027134e-16, 'LIQUID#1': 1.0}"
0.28,0.01,0.02,,791.6575871965416,{'LIQUID#1': 1.0}
0.28,0.01,0.03,,839.7566117733118,{'LIQUID#1': 0.9999999999999999}
0.28,0.01,0.04,,877.3424034822241,{'LIQUID#1': 1.0}
0.28,0.01,0.05,,908.7176205592067,{'LIQUID#1': 1.0}
0.28,0.01,0.06,,935.9330668569767,"{'DIAMOND_A4#1': 1.0838766069116245e-15, 'LIQUID#1': 1.0}"
0.28,0.01,0.07,,960.1419900267616,{'LIQUID#1': 0.9999999999999999}
0.28,0.01,0.08,,982.0632645386207,{'LIQUID#1': 1.0}
0.28,0.01,0.09,,1002.1778624885283,{'LIQUID#1': 1.0000000000000002}
0.28,0.02,0.01,,768.7641381511073,{'LIQUID#1': 1.0}
0.28,0.02,0.02,,776.4077314871001,{'LIQUID#1': 1.0}
0.28,0.02,0.03,,824.2431215568132,"{'DIAMOND_A4#1': 2.634931071984289e-16, 'LIQUID#1': 0.9999999999999998}"
0.28,0.02,0.04,,861.7818463831259,"{'DIAMOND_A4#1': 6.857091578887259e-16, 'LIQUID#1': 1.0}"
0.28,0.02,0.05,,893.2319059098027,{'LIQUID#1': 1.0}
0.28,0.02,0.06,,920.5980051525037,{'LIQUID#1': 1.0}
0.28,0.02,0.07,,945.0069627982874,{'LIQUID#1': 1.0}
0.28,0.02,0.08,,967.1609327999993,{'LIQUID#1': 1.0}
0.28,0.02,0.09,,987.5295973458724,{'LIQUID#1': 1.0}
0.28,0.03,0.01,,767.4804673547239,"{'FCC_A1#1': 6.336511600519081e-17, 'LIQUID#1': 1.0}"
0.28,0.03,0.02,,760.93958340966,{'LIQUID#1': 1.0}
0.28,0.03,0.03,,808.4780421387022,{'LIQUID#1': 1.0}
0.28,0.03,0.04,,845.9448297749799,{'LIQUID#1': 1.0}
0.28,0.03,0.05,,877.4511227804784,{'LIQUID#1': 1.0}
0.28,0.03,0.06,,904.9543141320482,{'LIQUID#1': 1.0}
0.28,0.03,0.07,,929.553996202956,"{'DIAMOND_A4#1': 3.240648749095861e-16, 'LIQUID#1': 1.0}"
0.28,0.03,0.08,,951.9350120570773,"{'DIAMOND_A4#1': 8.470797453225639e-16, 'LIQUID#1': 1.0}"
0.28,0.03,0.09,,972.5552876241826,{'LIQUID#1': 1.0}
0.28,0.04,0.01,,765.4841677168615,"{'FCC_A1#1': 2.0809834678583423e-17, 'LIQUID#1': 1.0}"
0.28,0.04,0.02,,759.0522655877762,{'LIQUID#1': 1.0}
0.28,0.04,0.03,,792.501626785736,"{'DIAMOND_A4#1': 4.773356440052858e-16, 'LIQUID#1': 0.9999999999999999}"
0.28,0.04,0.04,,829.8700173459043,"{'DIAMOND_A4#1': 1.06172857734266e-15, 'LIQUID#1': 1.0}"
