AT,C,Mn,Cu,Si,Ni,Cr,Mo,V,Al,W,N,Co,t,T
980,0.1,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,9956.5629,726.70323
980,0.1,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,10419.82156,729.348
980,0.1,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,11534.44035,733.21056
980,0.1,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,12679.11363,737.44099
980,0.1,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,14084.68308,740.75175
980,0.1,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,15700.99604,744.06252
980,0.1,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,17812.178,746.63756
980,0.1,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,19717.56459,749.76439
980,0.1,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,22134.8853,751.97157
980,0.1,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,24588.69394,754.54661
980,0.1,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,27506.63885,756.56986
980,0.1,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,34786.23868,760.98421
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,3288.22508,707.13811
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,3309.77769,714.05601
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,3442.0926,720.413
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,3698.56036,726.20907
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,4066.05621,729.94848
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,4514.08753,732.75303
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,5161.00604,736.49244
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,5805.04433,739.29699
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,6444.69159,741.16669
